"Animal.ID","Strongyle.EPG","Coccidia.EPG","Cestode.EPG","Ascarid.EPG","Mite.LPG","Fecal.Mass.g.","SVL","Mass","BCI","Site_Forest","Site_Park","Site_Zoo","Sex_F","Sex_M","Mite.PA"
"ANFO_200",1,0,1,0,6.6006600660066,0.303,51,11,-4.7888,1,0,0,1,0,1
"ANFO_201",1,1,0,0,4.52488687782805,0.442,47,11,-0.848800000000004,1,0,0,0,1,1
"ANFO_77_202",1,0,0,0,0,0.705,53,13,-4.7588,1,0,0,1,0,0
"ANFO_203",1,0,0,1,2.12539851222104,0.941,58,17,-5.68380000000001,1,0,0,1,0,1
"ANFO_204",1,1,0,0,8.54700854700855,0.819,57,21,-0.698799999999999,1,0,0,1,0,1
"ANFO_205",0,0,0,0,0,0.274,46,9,-1.8638,1,0,0,1,0,0
"ANFO_60",0,1,1,0,0,0.698,53,16,-1.7588,1,0,0,1,0,0
"ANFO_63_90",1,0,1,0,1.76678445229682,0.566,59,18,-5.6688,1,0,0,0,1,1
"ANFO_64",1,1,0,1,8.62068965517241,0.812,60,19,-5.6538,1,0,0,1,0,1
"ANFO_67",1,1,0,1,1.06269925611052,0.941,61,23,-2.6388,1,0,0,1,0,1
"ANFO_70",1,0,0,0,1.29366106080207,0.773,65,27,-2.57880000000001,1,0,0,1,0,1
"ANFO_71",1,1,0,1,12.853470437018,0.778,66,31,0.436199999999992,1,0,0,1,0,1
"ANFO_72",1,0,1,0,0,0.463,63,25,-2.6088,1,0,0,1,0,0
"ANFO_73",1,1,0,0,4.62249614791988,0.649,58,23,0.316199999999995,1,0,0,1,0,1
"ANFO_74",1,0,0,1,0,0.577,59,24,0.331199999999995,1,0,0,1,0,0
"ANFO_75",1,1,1,0,3.125,0.96,54,17,-1.7438,1,0,0,0,1,1
"ANFO_76",1,0,0,0,0,0.964,52,16,-0.773800000000001,1,0,0,0,1,0
"ANFO_77_202",1,1,0,0,1.16822429906542,0.856,47,11,-0.848800000000004,1,0,0,1,0,1
"ANFO_78",1,1,1,0,0,0.23,51,16,0.211199999999998,1,0,0,1,0,0
"ANFO_65_79",1,1,1,1,0,0.559,57,21,-0.698799999999999,1,0,0,0,1,0
"ANFO_80",1,0,0,0,1.07181136120043,0.933,61,24,-1.6388,1,0,0,1,0,1
"ANFO_81",1,1,0,0,3.28587075575027,0.913,65,27,-2.57880000000001,1,0,0,1,0,1
"ANFO_83",1,0,1,0,9.375,0.96,50,14,-0.803800000000003,1,0,0,1,0,1
"ANFO_84",1,0,1,0,0,0.899,54,16,-2.7438,1,0,0,0,1,0
"ANFO_85",1,1,1,0,4.55235204855842,0.659,55,19,-0.7288,1,0,0,0,1,1
"ANFO_86",1,0,0,1,5.05050505050505,0.792,56,22,1.2862,1,0,0,1,0,1
"ANFO_87",1,1,1,0,1.42450142450142,0.702,56,17,-3.7138,1,0,0,0,1,1
"ANFO_89",1,0,1,1,0,0.654,47,11,-0.848800000000004,1,0,0,1,0,0
"ANFO_63_90",1,1,0,0,0,0.367,61,20,-5.6388,1,0,0,0,1,0
"ANFO_91",1,0,0,1,6.22406639004149,0.482,51,15,-0.788800000000002,1,0,0,1,0,1
"ANFO_92",1,0,0,0,2.33100233100233,0.429,52,14,-2.7738,1,0,0,1,0,1
"ANFO_95",1,0,1,1,0,0.607,55,21,1.2712,1,0,0,1,0,0
"ANFO_101",0,0,0,0,0,0.473,53,16,-1.7588,0,1,0,0,1,0
"ANFO_16_102",1,0,1,0,5.83657587548638,0.514,56,20,-0.713799999999999,0,1,0,0,1,1
"ANFO_23_104_149",1,1,0,0,2.69541778975741,0.371,59,20,-3.6688,0,1,0,0,1,1
"ANFO_105",0,0,1,0,0,0.898,55,21,1.2712,0,1,0,1,0,0
"ANFO_107",1,0,0,0,0,0.568,55,23,3.2712,0,1,0,1,0,0
"ANFO_108",1,1,0,0,4.76758045292014,0.839,69,38,4.48119999999999,0,1,0,1,0,1
"ANFO_109",1,0,1,0,2.23214285714286,0.896,63,32,4.3912,0,1,0,1,0,1
"ANFO_110",1,1,0,0,0,0.917,58,22,-0.683800000000005,0,1,0,0,1,0
"ANFO_111",0,0,0,0,0,0.994,57,22,0.301200000000001,0,1,0,0,1,0
"ANFO_112",1,0,0,0,4.23728813559322,0.708,62,26,-0.623800000000003,0,1,0,0,1,1
"ANFO_113_148",1,0,0,0,0,0.445,54,17,-1.7438,0,1,0,0,1,0
"ANFO_116",1,0,1,1,2.21975582685905,0.901,58,22,-0.683800000000005,0,1,0,1,0,1
"ANFO_122",1,0,1,0,1.09769484083425,0.911,64,35,6.4062,0,1,0,1,0,1
"ANFO_128",1,0,1,0,3.28587075575027,0.913,48,15,2.1662,0,1,0,1,0,1
"ANFO_14",1,0,0,0,0,0.26,52,19,2.2262,0,1,0,0,1,0
"ANFO_7_99_142",1,1,0,1,0,0.773,68,34,1.46619999999999,0,1,0,1,0,0
"ANFO_143",1,0,1,0,2.58064516129032,0.775,65,29,-0.578800000000008,0,1,0,0,1,1
"ANFO_145",0,0,0,1,0,0.977,61,26,0.361199999999997,0,1,0,1,0,0
"ANFO_146",1,1,1,1,22.5563909774436,0.665,58,22,-0.683800000000005,0,1,0,0,1,1
"ANFO_147",0,0,0,0,0,0.072,58,16,-6.68380000000001,0,1,0,1,0,0
"ANFO_113_148",1,1,0,1,2.8169014084507,0.71,55,19,-0.7288,0,1,0,0,1,1
"ANFO_23_104_149",1,1,1,1,3.08641975308642,0.972,59,21,-2.6688,0,1,0,0,1,1
"ANFO_150",1,1,0,0,5.70776255707763,0.876,69,34,0.481199999999994,0,1,0,1,0,1
"ANFO_151",1,1,1,1,9.1533180778032,0.874,56,19,-1.7138,0,1,0,1,0,1
"ANFO_152",1,0,0,1,15.6626506024096,0.83,58,25,2.31619999999999,0,1,0,1,0,1
