"Animal.ID","Strongyle.EPG","Strongyle.LPG","Coccidia.EPG","Cestode.EPG","Ascarid.EPG","Mite.LPG","Fecal.Mass(g)","Site","Sex","SVL","Mass","regline","BCI"
"ANFO_200",3.3003300330033,0,0,3.3003300330033,0,6.6006600660066,0.303,"Forest","F",51,11,15.7888,-4.7888
"ANFO_201",81.447963800905,0,4.52488687782805,0,0,4.52488687782805,0.442,"Forest","M",47,11,11.8488,-0.848800000000004
"ANFO_77_202",24.113475177305,8,0,0,0,0,0.705,"Forest","F",53,13,17.7588,-4.7588
"ANFO_203",1179.59617428268,0,0,0,1.06269925611052,2.12539851222104,0.941,"Forest","F",58,17,22.6838,-5.68380000000001
"ANFO_204",13.4310134310134,1,76.9230769230769,0,0,8.54700854700855,0.819,"Forest","F",57,21,21.6988,-0.698799999999999
"ANFO_205",0,0,0,0,0,0,0.274,"Forest","F",46,9,10.8638,-1.8638
"ANFO_60",0,0,1.43266475644699,12.8939828080229,0,0,0.698,"Forest","F",53,16,17.7588,-1.7588
"ANFO_63_90",35.3356890459364,14,0,3.53356890459364,0,1.76678445229682,0.566,"Forest","M",59,18,23.6688,-5.6688
"ANFO_64",559.113300492611,19,18.4729064039409,0,17.2413793103448,8.62068965517241,0.812,"Forest","F",60,19,24.6538,-5.6538
"ANFO_67",319.872476089267,6,6.37619553666312,0,5.3134962805526,1.06269925611052,0.941,"Forest","F",61,23,25.6388,-2.6388
"ANFO_70",460.543337645537,1,0,0,0,1.29366106080207,0.773,"Forest","F",65,27,29.5788,-2.57880000000001
"ANFO_71",3266.06683804627,11,2.5706940874036,0,2.5706940874036,12.853470437018,0.778,"Forest","F",66,31,30.5638,0.436199999999992
"ANFO_72",518.358531317495,0,0,2591.79265658747,0,0,0.463,"Forest","F",63,25,27.6088,-2.6088
"ANFO_73",141.75654853621,6,6.1633281972265,0,0,4.62249614791988,0.649,"Forest","F",58,23,22.6838,0.316199999999995
"ANFO_74",32.9289428076257,4,0,0,1.73310225303293,0,0.577,"Forest","F",59,24,23.6688,0.331199999999995
"ANFO_75",68.75,6,505.208333333333,2.08333333333333,0,3.125,0.96,"Forest","M",54,17,18.7438,-1.7438
"ANFO_76",19.7095435684647,2,0,0,0,0,0.964,"Forest","M",52,16,16.7738,-0.773800000000001
"ANFO_77_202",43.2242990654206,2,8.17757009345794,0,0,1.16822429906542,0.856,"Forest","F",47,11,11.8488,-0.848800000000004
"ANFO_78",4.34782608695652,0,8.69565217391304,39.1304347826087,0,0,0.23,"Forest","F",51,16,15.7888,0.211199999999998
"ANFO_65_79",7.15563506261181,1,1.78890876565295,10.7334525939177,10.7334525939177,0,0.559,"Forest","M",57,21,21.6988,-0.698799999999999
"ANFO_80",831.725616291533,1,0,0,0,1.07181136120043,0.933,"Forest","F",61,24,25.6388,-1.6388
"ANFO_81",132.530120481928,1,1.09529025191676,0,0,3.28587075575027,0.913,"Forest","F",65,27,29.5788,-2.57880000000001
"ANFO_83",289.583333333333,3,0,13.5416666666667,0,9.375,0.96,"Forest","F",50,14,14.8038,-0.803800000000003
"ANFO_84",45.6062291434928,2,0,1.11234705228031,0,0,0.899,"Forest","M",54,16,18.7438,-2.7438
